"cr286_crs_id","importsequencenumber","cr286_point_id","cr286_point_name","cr286_seismic_3d_survey_id","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_3d_seismic_coordinateid","cr286_x","cr286_y","owningbusinessunit"
"WGS84_UTM_ZONE_48N","","R000190","Coordinate of Point 5","D3CL13","1","0","","","2405571","9ed5e406-d0fa-ee11-9f89-000d3aa02f9f","869836","1160000","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000192","Coordinate of Point 5","D3CL20","1","0","","","2405570","9cd5e406-d0fa-ee11-9f89-000d3aa02f9f","824099","1124622","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_TM_108","","R000189","Coordinate of Point 5","D3CL7","1","0","","","2405569","9bd5e406-d0fa-ee11-9f89-000d3aa02f9f","571183","926489","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS72_UTM_ZONE_49N","","R000185","Coordinate of Point 4","D3NCS16","1","0","","","2405568","9ad5e406-d0fa-ee11-9f89-000d3aa02f9f","318687","915125","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000186","Coordinate of Point 5","D3CL2","1","0","","","2405567","99d5e406-d0fa-ee11-9f89-000d3aa02f9f","884590","1158601","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000188","Coordinate of Point 5","D3CL5","1","0","","","2405566","97d5e406-d0fa-ee11-9f89-000d3aa02f9f","881776","1092929","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000187","Coordinate of Point 5","D3CL3","1","0","","","2405565","98d5e406-d0fa-ee11-9f89-000d3aa02f9f","789000","1095500","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS72_UTM_ZONE_49N","","R000181","Coordinate of Point 4","D3NCS10","1","0","","","2405564","93d5e406-d0fa-ee11-9f89-000d3aa02f9f","312392","829675","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS72_UTM_ZONE_49N","","R000184","Coordinate of Point 4","D3NCS14","1","0","","","2405563","95d5e406-d0fa-ee11-9f89-000d3aa02f9f","273232","840007","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS72_UTM_ZONE_49N","","R000183","Coordinate of Point 4","D3NCS13","1","0","","","2405562","96d5e406-d0fa-ee11-9f89-000d3aa02f9f","303526","848037","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS72_UTM_ZONE_49N","","R000182","Coordinate of Point 4","D3NCS12","1","0","","","2405561","94d5e406-d0fa-ee11-9f89-000d3aa02f9f","296115","885122","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000180","Coordinate of Point 4","D3MTC9","1","0","","","2405560","90d5e406-d0fa-ee11-9f89-000d3aa02f9f","426233","776946","bdc98465-7de8-ee11-a203-00224856dfbe"
